country,Region,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,Adults (ages 15-49) newly infected with HIV,Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Arms exports (SIPRI trend indicator values),Arms imports (SIPRI trend indicator values),"Automated teller machines (ATMs) (per 100,000 adults)",Average transaction cost of sending remittances from a specific country (%),Average transaction cost of sending remittances to a specific country (%),Bank capital to assets ratio (%),Bank liquid reserves to bank assets ratio (%),Bank nonperforming loans to total gross loans (%),"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)","Commercial bank branches (per 100,000 adults)","Computer, communications and other services (% of commercial service exports)","Computer, communications and other services (% of commercial service imports)",Consumer price index (2010 = 100),Domestic credit provided by financial sector (% of GDP),Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),"Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, 15+, male (%) (national estimate)","Employment to population ratio, 15+, total (%) (national estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)","Employment to population ratio, ages 15-24, male (%) (national estimate)","Employment to population ratio, ages 15-24, total (%) (national estimate)",Final consumption expenditure (% of GDP),Final consumption expenditure (annual % growth),Final consumption expenditure (constant 2010 US$),Final consumption expenditure (constant LCU),Final consumption expenditure (current LCU),Final consumption expenditure (current US$),Fixed broadband subscriptions,Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions,Fixed telephone subscriptions (per 100 people),GDP (constant 2010 US$),GDP growth (annual %),GDP per capita (constant 2010 US$),GNI (constant 2010 US$),GNI growth (annual %),GNI per capita (constant 2010 US$),High-technology exports (current US$),Human capital index (HCI) (scale 0-1),Individuals using the Internet (% of population),"Labor force, total",Military expenditure (% of GDP),Population density (people per sq. km of land area),Population growth (annual %),"Population, female","Population, male","Population, total",Ratio of female to male labor force participation rate (%) (national estimate),"Total reserves (includes gold, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Women Business and the Law Index Score (scale 1-100)
Portugal,SouthernEurope,670.0,1000.0,55.82690416,35.48532548,20.34157868,46000000.0,47000000.0,165.273853,7.162276,,7.46544726,,4.858840188,891850080.8,140080202.6,32.84,39.9931022,49.18518466,110.6105988,,100.0332175,99.95073438,49.83,58.95,54.07,21.19,25.47,23.36,82.81938714,-4.596340836,199512000000.0,155237000000.0,167681000000.0,191524000000.0,4160895.0,40.80625425,5212507.0,51.11950336,234654000000.0,-7.563616423,22769.68191,230971000000.0,-6.605319018,22412.30688,3359568309.0,0.768949568,78.26165705,5190690,2.140563285,112.4992795,0.18746278,5430030,4875534,10305564,85.00317058,29459811843.0,7.2,6833619,100.0
Romania,EasternEurope,770.0,1000.0,53.26025214,29.47334945,23.7869027,,187000000.0,62.79460095,,4.346135,9.987857238,16.86450263,3.833242142,888552030.2,132002023.1,22.56,64.61766146,60.04538716,127.0371357,,26.05309523,26.05309523,43.21,61.96,52.29,19.72,29.19,24.58,79.95791384,-3.585061761,187382000000.0,416621000000.0,843995000000.0,198868000000.0,5685000.0,29.55136352,3025000.0,15.72434031,224970000000.0,-3.859373593,11664.85172,220879000000.0,-4.162599503,11452.7491,6984613434.0,0.584187865,78.45526895,8967558,2.313707466,83.82355268,-0.442473207,9908658,9377465,19286123,69.29073678,52190562712.0,4.84,10451921,90.625
Saudi Arabia,WesternAsia,1000.0,1000.0,39.26546726,4.87214582,34.39332144,,2466000000.0,,4.803345,,14.43490361,,2.182905505,,,,14.83690618,32.32728108,122.479242,,,,,,,,,,71.52409976,-2.529766623,384468000000.0,1441760000000.0,1877820000000.0,500753000000.0,7890261.0,22.66413005,5749058.0,16.51369938,675042000000.0,-4.106583412,19390.01893,687280000000.0,-3.248486269,19741.54832,,0.576390505,97.8623325,14455587,8.447598946,16.19483135,1.57883733,14682559,20131308,34813867,,472851000000.0,8.22,29343564,80.0
Singapore,South-easternAsia,100.0,100.0,34.50390716,17.95834779,16.54555936,,74000000.0,54.0070504,3.311032,,,,,16848008987.0,8280173221.0,7.02,48.42314387,57.75032524,114.1976627,,132.6782008,132.6782008,57.72999954,71.68000031,64.5,28.63999939,33.00999832,30.92000008,45.42503995,,,,213087000000.0,154444000000.0,1517600.0,25.94036383,1891600.0,32.33315249,320390000000.0,-5.391021406,56349.02942,,,,161271000000.0,0.879125714,75.87596245,3472519,3.201533596,8019.473907,-0.311904961,2709673,2976134,5685807,,369834000000.0,5.19,5685807,82.5
South Africa,SouthernAfrica,230000.0,200000.0,52.23147889,8.387100219,43.84437867,37000000.0,,58.58794064,15.048613,8.142315,7.886974554,3.197033055,5.180283295,1398011406.0,98004301.41,9.22,33.78091341,42.56241805,164.0515915,,,69.26468321,30.4,41.5,35.78,6.85,10.12,8.49,82.44426112,-3.947363476,342264000000.0,2505780000000.0,4100760000000.0,248919000000.0,1303057.0,2.19707601,2098802.0,3.538776527,400229000000.0,-6.959604452,6748.234355,392282000000.0,-6.089760656,6614.243106,1837384291.0,0.425453395,,21742744,1.074193443,48.89059344,1.273356263,30092678,29216012,59308690,76.74094708,55008491996.0,28.74,39946775,88.125
Spain,SouthernEurope,3500.0,3200.0,52.38577873,30.44303919,21.94273953,1201000000.0,57000000.0,103.4016712,5.029116,,6.498059856,,2.851226662,5063616548.0,2949863121.0,45.53,55.59562479,60.6289487,110.6034784,,108.5425845,107.4844566,42.62,53.47,47.9,16.57,20.25,18.46,78.05068744,-8.183420121,1063790000000.0,835249000000.0,875493000000.0,999985000000.0,15850358.0,33.9010443,19455779.0,41.61238665,1401620000000.0,-10.83894734,29600.35238,,,,15731961265.0,0.728255033,93.20564609,22799921,1.402053417,94.77829717,0.461546667,24079931,23271636,47351567,83.1507732,81287702461.0,15.67,38264801,97.5
Sri Lanka,SouthernAsia,200.0,200.0,53.65162543,17.25946867,36.39215676,,,,,4.481574,8.551351841,,4.928274959,,,,,,165.1000451,,,,,,,,,,81.12093956,-2.366154105,66831550399.0,7556280000000.0,12146200000000.0,65469952390.0,1992429.0,9.304655263,2428957.0,11.34324362,84293528650.0,-3.569076137,3845.683136,81961423699.0,-3.355477512,3739.286633,83151757.0,0.598324299,35.0,8552779,1.933104238,354.309453,0.53062656,11409149,10509851,21919000,,5663994385.0,4.84,4101702,65.625
Sweden,NorthernEurope,,,61.16654504,32.76323212,28.40331292,286000000.0,3000000.0,,7.925322,,6.261697309,7.921359073,0.513361451,9208813608.0,8371844622.0,13.8,75.59473861,74.44140334,111.0588566,,141.1114452,141.1088602,64.56,69.77,67.21,40.07,39.17,39.6,71.10064257,-3.166340138,407058000000.0,3168190000000.0,3520590000000.0,382244000000.0,4101078.0,40.60768779,1624271.0,16.08306149,580499000000.0,-2.817819572,56068.25646,598507000000.0,-2.617143786,57807.49226,17805945123.0,0.795357108,94.53943122,5477192,1.221397332,25.41907147,0.722703913,5167175,5186267,10353442,92.50887107,58260344659.0,8.45,9108648,100.0
Switzerland,WesternEurope,,,51.64421034,28.96031955,22.68389079,179000000.0,10000000.0,93.95590295,8.252569,,8.125798347,,0.748812316,17961440465.0,23123129868.0,37.03,54.64093858,76.25452609,98.82431041,,,,59.39,69.97,64.6,59.4,59.44,59.42,63.0044514,-3.124229048,426900000000.0,436090000000.0,442432000000.0,471254000000.0,4023000.0,46.48383257,2952000.0,34.10894202,692095000000.0,-2.870251911,80132.42559,,,,29236830495.0,0.756115139,,4959300,0.778520639,218.5668955,0.715961343,4352040,4284856,8636896,85.17509197,1083400000000.0,4.94,6383962,85.625
Thailand,South-easternAsia,6600.0,6500.0,41.86456271,18.3824378,23.48212492,,132000000.0,,13.312291,7.700715,11.14,21.70200695,3.23,4503700128.0,225348106.9,,41.11675915,46.80564308,112.3074938,194.125135,160.2671108,125.0334274,58.54,74.59,66.28,31.21,44.82,38.11,70.57274521,,,,11082100000000.0,354130000000.0,11599513.0,16.6182187,5003000.0,7.167624036,425391000000.0,-6.087220285,6094.432873,,,,45968349192.0,0.609310985,77.8437476,38483357,1.473849739,136.6242792,0.250165167,35833918,33966060,69799978,78.47010473,258104000000.0,1.02,35898129,78.125
Tunisia,NorthernAfrica,500.0,500.0,49.61914184,13.27563081,36.34351103,,15000000.0,,,8.694098,,7.423595593,,,,,,,164.0766398,,,71.23010791,,,,,,,,,,,,,1334551.0,11.2919369,1533273.0,12.97336855,47084697907.0,-8.600310283,3983.942785,,,,,0.51680994,,4107933,2.90774447,76.07246395,1.053854127,5957866,5860752,11818618,,9810630875.0,16.69,8221976,67.5
Turkey,WesternAsia,,,49.08267183,13.38921267,35.69345916,141000000.0,86000000.0,,11.114839,7.256607,10.5451143,15.01273419,3.89009244,2086000000.0,130000000.0,,20.15793127,39.84012273,263.2235613,98.25504393,75.05909443,70.90582529,26.26,59.77,42.84,19.23,38.78,29.2,71.98942618,3.015246626,951274000000.0,1337040000000.0,3633960000000.0,518397000000.0,16734853.0,19.84235016,12448604.0,14.760187,1284110000000.0,1.756650763,15225.6146,1269040000000.0,2.255320027,15046.93657,4196985792.0,0.649261832,77.66956038,32317036,2.772472019,109.583913,1.084193952,42702942,41636125,84339067,45.24647887,93511562720.0,13.92,64186247,82.5
Uganda,EasternAfrica,38000.0,31000.0,92.31354613,3.81876993,88.4947762,,13000000.0,,,10.90573,13.37170648,22.42062775,5.215867517,,,,,,180.4686791,27.18026699,14.3482093,13.10620753,,,,,,,81.01854573,3.406432064,36486306857.0,103460000000000.0,112487000000000.0,30278277288.0,34596.0,0.075634539,90774.0,0.198452124,43828692210.0,2.857581274,958.1926982,43083691420.0,3.873808356,941.9053239,11771659.0,0.384176582,,16514595,2.597144665,228.111909,3.269713347,23194411,22546589,45741000,,,2.44,11414209,73.125
Ukraine,EasternEurope,9300.0,8500.0,49.11943575,25.27446563,23.84497012,115000000.0,18000000.0,93.73922775,,6.367748,11.65846222,20.78118603,41.00409554,495000000.0,74000000.0,0.41,63.54440357,28.16068924,289.3548945,,,21.0178906,,,,,,,93.54095346,0.483386475,141452000000.0,2496460000000.0,3923200000000.0,145533000000.0,7769401.0,18.61701348,3314263.0,7.941626251,130073000000.0,-4.020317714,3115.860766,132113000000.0,-5.375085406,3164.73082,1248167887.0,0.631387115,,19461889,4.129198321,76.17309803,-0.568251539,23685780,20448913,44134693,,29137541200.0,9.48,30721277,79.375
United Arab Emirates,WesternAsia,100.0,100.0,19.15896211,1.506655343,17.65230677,191000000.0,432000000.0,52.48522651,4.099206,,,14.6088466,8.154957712,,,7.98,,,112.1432311,,,,,,,,,,,,,,,,3245123.0,32.81083014,2380866.0,24.07248967,,,,,,,,0.673011899,100.0,6820222,,139.2621797,1.219428682,3054051,6836349,9890400,,106702000000.0,5.0,8609395,82.5
United States of America,NorthernAmerica,,,53.85248134,25.587092,28.26538933,9372000000.0,687000000.0,,5.140987,,11.0208874,15.44238571,1.065369146,40682000000.0,114045000000.0,29.69,57.82672229,52.10463816,118.6905016,280.4969055,216.3345332,54.35277638,51.51,62.39,56.77,45.32,46.41,45.86,,,,,,,120531000.0,36.41390775,103052000.0,31.13328539,17709400000000.0,-3.486139557,53748.97143,,,,143489000000.0,0.701764345,,165163504,3.741160091,36.01935005,0.350911063,166449500,163034623,329484123,83.06237068,628370000000.0,8.31,272364755,91.25
Viet Nam,South-easternAsia,6100.0,5300.0,45.05377171,11.40994617,33.64382555,,41000000.0,26.26473753,,7.233685,,,,,,4.01,,,168.7837215,,,,60.43,73.72,66.94,41.25,48.35,44.91,75.15596733,1.055764322,150651000000.0,2804060000000000.0,4729670000000000.0,203792000000.0,16699249.0,17.15583808,3205775.0,3.293426957,206694000000.0,2.905835584,2123.45606,195192000000.0,3.629829512,2005.292045,101537000000.0,0.689964533,70.2900004,56542377,,313.9245428,0.904517906,48740329,48598254,97338583,82.65550239,94833616150.0,2.27,36346227,81.875
